Локальный идентификатор;Наименование;Автор;Год издания;Вид документа;Отрасль знания;Возрастная категория;ISBN
3437;Сингапур;;1994;Книга;Общественные и гуманитарные науки;Взрослый;-
3438;Сиротство как социальная проблема;;1999;Книга;Общественные и гуманитарные науки;Взрослый;985-09=-0325-2
3439;Словарь справочник по обществоведению и основам Советского государства и права;;1990;Книга;Учебная литература;Взрослый;-
3440;Советское уголовное право;;1988;Книга;Учебная литература;Взрослый;-
3441;Современная Эфиопия;;1988;Книга;Общественные и гуманитарные науки;Взрослый;-
3442;Справочник товароведа продовольственных товаров. Т.1.;;1987;Книга;Общественные и гуманитарные науки;Взрослый;-
3443;Справочник товароведа продовольственных товаров. Т.2.;;1987;Книга;Общественные и гуманитарные науки;Взрослый;-
3444;Строительство-Журнал Бухгалтерский бюллетень;;1996;Книга;Общественные и гуманитарные науки;Взрослый;-
3445;Теория права и государства;;1996;Книга;Учебная литература;Взрослый;5-7858-0016-0
3446;Товарно-материальные ценности;;1997;Книга;Общественные и гуманитарные науки;Взрослый;5-89568-019-4
3447;Трудовое право России;;1998;Книга;Учебная литература;Взрослый;5-89123-175-1
3448;Уголовное право Российской Федерации;;1999;Книга;Учебная литература;Взрослый;5-93384-003-3
3449;Уголовный кодекс Российской Федерации;;1996;Книга;Право;Взрослый;5-7507-0242-1
3452;Управление качеством;;1998;Книга;Учебная литература;Взрослый;5-238-00009-Х
3453;Учебный социологический словарь;;1999;Книга;Учебная литература;Взрослый;5-8212-0032-6
3454;Учет коммерческих расходов непроизводственного характера;;1997;Книга;Общественные и гуманитарные науки;Взрослый;5-89568-038-0
3455;Финансы;;1995;Книга;Учебная литература;Взрослый;-
3456;Человек,природа, общество;;1997;Книга;Учебная литература;Взрослый;5-7301-0309-3
3457;Школы Москвы;;2003;Книга;Педагогика;Взрослый;5-93804-068-Х
3458;Школы Москвы;;1997;Книга;Педагогика;Взрослый;5-89005-018-4
3459;Япония-87;;1989;Книга;Общественные и гуманитарные науки;Взрослый;-
3460;Самоучитель работы на компьютере;Леонов Василий;2009;Книга;Компьютеры. Интернет;Универсальный;-
3461;Эффективный интернет;Болушевский Сергей Владимирович;2009;Книга;Компьютеры. Интернет;Универсальный;-
3462;Радиационная гигиена;Кириллов В.Ф.;1982;Книга;Медицина;Универсальный;-
3463;Здравницы профсоюзов;Полторанов В.В.;1986;Книга;Медицина;Универсальный;-
3464;Энциклопедия школьнику: для любознательных детей разного возраста;Яковенко Г. П.;1994;Книга;Познавательная литература;Детский;5-7707-3811-1
3465;Бизнес-план;Колесникова Н.А.;2001;Книга;Деловая литература;Взрослый;5-279-02208-Х
3466;"Имя с первой полосы: герои эпохи- герои ""Комсомольской правды"",""нет";;1985;Книга;Публицистика;Взрослый;ред. Селезнева Г.
3467;Эффективная реклама в России. Практика и рекомендации;Гермогенова Л.Ю.;1994;Книга;учебная литература;Универсальный;5-900733-01-7
3468;Современная библиотека: финансово-экономические аспекты деятельности;Клюев Владимир Константинович;1993;Книга;практическое пособие;Универсальный;-
3469;Перу;Малинин Андрей Весьмирович;1991;Книга;справочник;Универсальный;5-7133-0430-2
3470;Камбоджа: внутреннее развитие;Мосяков Дмитрий Валентинович;1991;Книга;путеводитель;Универсальный;5-02-017226-X
3471;Налогообложение физических лиц;Цветников К.А.;1997;Книга;справочное издание;Универсальный;5-86065-013-2
3472;Бенито Перес Гальдос;;1989;Книга;биобиблиографический указатель;Универсальный;-
3473;Елин Пелин;;1977;Книга;биобиблиографический указатель;Универсальный;-
3474;Иностранные юридические лица ;;1996;Книга;право;Универсальный;5-900855-31-7
3475;Конституция (основной закон) Российской Советской Федеративной Социалистической Республики;;1991;Книга;право;Универсальный;5-268-01411-0
3476;Кто есть кто в изучении народов и национальных проблем России;;1995;Книга;справочник;Универсальный;5-88735-020-2
3477;Московские налоги;;1997;Книга;сборник нормативных документов;Универсальный;5-7849-0077-3
3478;Основы рыночной экономики;;1992;Книга;терминологический словарь;Универсальный;5-7035-0527-5
3479;Реклама предприятия. Правовое регулирование;;1996;Книга;справочное издание;Универсальный;5-85572-159-0
3480;Сборник законодательных актов Российской Федерации. 13мая-26 июня 1992 года. Выпуск XIII;;1992;Книга;право;Универсальный;5-206-00377-8
3481;Сборник законодательных актов Российской Федерации. 20 февраля-21 апреля 1992 года. Выпуск XI;;1992;Книга;право;Универсальный;5-206-00372-7
3482;Сборник законодательных актов Российской Федерации. 21 ноября 1991 г.-3 февраля 1992 г. Выпуск V;;1992;Книга;право;Универсальный;5-250-02154-9
3483;Толковый словарь предпринимателя;;1993;Книга;словарь;Универсальный;5-279-01014-6
3484;Томас Харди;;1982;Книга;биобиблиографический указатель;Универсальный;-
3485;Управление предприятием;;1990;Книга;словарь-справочник;Универсальный;-
3486;Эмилиян Станев;;1985;Книга;биобиблиографический указатель;Универсальный;-
3487;Свето-музыкальные инструменты;Галеев Булат Махмудович;1987;Книга;Наука. Техника;Универсальный;-
3489;Мой друг магнитофон;Згут Михаил Абрамович;1985;Книга;Наука. Техника;Универсальный;-
3490;Современное делопроизводство;Кирсанова Мария Владимировна;2003;Книга;Экономика;Универсальный;5-16-001170-6
3491;Готовые экзаменационные ответы. География, 11 класс;;2004;Книга;Учебное пособие;Универсальный;5-94684-087-8
3492;Экономическая и социальная география мира [Текст] : Учебник для 10 класса общеобразоват. Учреждений;Максаковский Владимир Павлович;2003;Книга;Учебное пособие;Универсальный;5-09-011932-5
3493;Планирование на предприятии туризма;;2005;Книга;Учебное пособие;Универсальный;5-8110-0090-1
3494;Весенняя песня;Скребицкий Георгий Алексеевич;1964;Книга;Детская литература;Детский;-
3495;Джек, покоритель великанов;Чуковский Корней Иванович;1966;Книга;Детская литература;Детский;-
3496;Школьные каникулы;Глушкова Елизавета К.;1967;Книга;Медицина. Здравоохранение;Юношеский;-
3497;Основы энергетики;Конфедератов Иван Яковлевич;1967;Книга;техника;Юношеский;-
3498;Зеленые спутники;Александров Б.А.;1969;Книга;сельское хозяйство;Юношеский;-
3499;От научного поиска к атомной промышленности;Перосьянц Андраник Мелконович;1970;Книга;техника;Юношеский;-
3500;Маленькая энциклопедия о большой кибернетике;Пекелис Виктор Давыдович;1970;Книга;техника;Юношеский;-
3501;Школьные каникулы;Михайлова Лидия Владимировна;1970;Книга;Медицина. Здравоохранение;Юношеский;-
3502;Самодельные оптические и электрохимические приборы;Попов Борис Владимирович;1971;Книга;техника;Юношеский;-
3503;Рождение жемчужины;Овчинников Всеволод Владимирович;1971;Книга;сельское хозяйство;Юношеский;-
3504;Физиология животных;Хрипкова Антонина;1972;Книга;биология;Юношеский;-
3505;"Соревнования ""Охота на лис""";Гречихин Анатолий Иванович;1973;Книга;радиоэлектроника;Юношеский;-
3506;Василий Теркин;Твардовский Александр Трифонович;1974;Книга;поэзия;Юношеский;-
3507;Токарь - профессия знатная;Чуев А.В.;1974;Книга;техника;Юношеский;-
3508;От весны до весны;Соколов-Микитов Иван Сергеевич;1975;Книга;русская проза;Юношеский;-
3509;Ти-ви;Попов Валерий Георгиевич;1975;Книга;техника;Юношеский;-
3510;Электричество в пути;Либкинд М.С.;1975;Книга;техника;Юношеский;-
3511;Овод;Войнич Этель;1975;Книга;Зарубежная литература;Юношеский;-
3512;Чаша пятого ангела;Жерневская Ирина ивановна;1976;Книга;Медицина. Здравоохранение;Юношеский;-
3513;Твоя родина - Советский Союз;Кублицкий Георгий Иванович;1976;Книга;политика;Юношеский;-
3514;Школьнику об организации производства;Саксаганский Т.Д.;1977;Книга;техника;Юношеский;-
3515;Правила дорожного движения;Рублях В.Э.;1979;Книга;транспорт;Детский;-
3516;От А до Я;Коростелев Николай Борисович;1980;Книга;Медицина. Здравоохранение;Юношеский;-
3517;Гордая профессия - шахтер;Поляков Василий;1983;Книга;горное дело;Юношеский;-
3518;Интересная профессия - углеобогатитель;Пиккат-Ордынский Г.А.;1985;Книга;горное дело;Юношеский;-
3519;Чудесный мир бумаги;Розен Бория Яковлевич;1986;Книга;химические производства;Юношеский;-
3520;Пекарь - это хорошо;Зотова Раиса Ивановна;1986;Книга;пищевое производство;Детский;-
3521;Черная металлургия - что это?;Шалимова Нинель Ильинична;1986;Книга;металлургия;Юношеский;-
3522;Пионер - умелец;Ерлыкин Людвиг Андреевич;1986;Книга;техника;Детский;-
3523;Режим для школьника;Куценко Геннадий Иванович;1987;Книга;Медицина. Здравоохранение;Юношеский;-
3524;Земля на ладони;Брук Михаил Соломонович;1986;Книга;сельское хозяйство;Юношеский;-
3525;Шаг за шагом;Коростелев Николай Борисович;1987;Книга;Медицина. Здравоохранение;Юношеский;-
3526;Космос земле;Колесников Юрий Вениаминович;1987;Книга;межпланетные сообщения;Юношеский;-
3527;Что такое обрабатывающий центр;Борисов К.;1987;Книга;металлургия;Юношеский;-
3529;Что такое САПР?;Почин Сергей Алексеевич;1987;Книга;техника;Юношеский;-
3530;Самоделки юного радиолюбителя;Иванов Борис Сергеевич;1988;Книга;техника;Юношеский;-
3531;По законам красоты;Зборовский Ефим Маркович;1988;Книга;легкая промышленность;Юношеский;-
3532;Приключения радиолуча;Родиков Валерий ;1988;Книга;радиоэлектроника;Юношеский;-
3533;Электроны.. Электроны…;Шилейко Алексей;1989;Книга;радиоэлектроника;Юношеский;-
3534;ЭВТ: знакомимся, делаем, играем;Игошев Борис Михайлович;1989;Книга;радиоэлектроника;Юношеский;-
3536;Токарное художество;Гостомыслов Александр Петрович;1989;Книга;технические науки;Юношеский;-
3537;О нефти и газе без формул;Цыркин Е.Б.;1989;Книга;горное дело;Юношеский;-
3538;Кибернетика от А до Я;Пекелис Виктор Давыдович;1990;Книга;радиоэлектроника;Юношеский;-
3539;Два путешествия с компьютером;Бачило Александр;1990;Книга;радиоэлектроника;Юношеский;-
3540;Что нам стоит флот построить;Журавлева Антонина Петровна;1990;Книга;технические науки;Юношеский;-
3541;А я был в компьютерном городе;Зарецкий Андрей;1990;Книга;техника;Юношеский;-
3542;От водяного колеса до квантового;Бирюков Борис Николаевич;1990;Книга;энергетика;Юношеский;-
3543;Энергетика: проблемы и надежды;Юдасин Лев Самойлович;1990;Книга;энергетика;Юношеский;-
3544;Физкультура и спорт;;2009;Периодическое издание;спорт;Детский;-
3545;Вокруг света;;2009;Периодическое издание;познавательный;Детский;-
3546;Здоровье школьника;;2009;Периодическое издание;дом. Семья;Взрослый;-
3547;Кукумбер;;2009;Периодическое издание;литературный;Детский;-
3548;Война и мир. 1 серия;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3549;Война и мир. 2 и 3 серии;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3550;Война и мир. 4 серия;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3551;Черный квадрат;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3552;Мы из Джаза;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3553;Вокзал для двоих;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3554;Табор уходит в небо;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3555;Экипаж. 1 и 2 серии;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3556;Зимний вечер в Гаграх;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3557;Мультфильмы. Сборник №13;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3558;Ну,погоди! Выпуск 1-6;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3559;Ну,погоди! Выпуск 7-11;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3560;Евгений Онегин;;1994;Аудиовизуальный документ;Опера;Универсальный;-
3561;Сборник мультфильмов №18;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3562;Незнайка в солнечном городе;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3563;Ну, погоди! Выпуск 12-16;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3564;Кот Леопольд;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3565;Мультфильмы. Сборник№3;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3566;Мультфильмы. Сборник №27;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3567;Человек в черном. О Викторе Цое;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3568;Мультфильмы. Сборник7;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3569;Маугли;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3570;Мультфильмы. Сборник 26;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3571;Прометей. Возвращение с Олимпа;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3572;Мультфильмы. 12 месяцев;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3573;Мультфильмы. Сборник 10. Гадкий утенок;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3574;Князь Игорь;;1994;Аудиовизуальный документ;Опера;Универсальный;-
3575;Раймонда;;1994;Аудиовизуальный документ;Балет;Универсальный;-
3576;Мультфильмы. Сборник 17;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3577;Мультфильмы. Сборник 8. Винни-Пух;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3578;Афоня;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3579;Мультфильмы.Сборник 15;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3580;Приключение Буратино;;1994;Аудиовизуальный документ;Мультфильм;Универсальный;-
3581;Полет Валькирии;;1994;Аудиовизуальный документ;Опера;Универсальный;-
3582;Отелло;;1994;Аудиовизуальный документ;Опера;Универсальный;-
3583;Стеделлио;;1994;Аудиовизуальный документ;Опера;Универсальный;-
3584;Маленькие трагедии. 1 серия;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3585;Сколько лиц у Москвы;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3586;Мультфильмы.Сборник 3;;1994;Аудиовизуальный документ;Мультфильмы;Универсальный;-
3587;Путешествие Гулливера;;1994;Аудиовизуальный документ;Мультфильмы;Универсальный;-
3588;Красная шапочка;;1994;Аудиовизуальный документ;Мультфильмы;Универсальный;-
3589;Постреляем в пианиста;;1994;Аудиовизуальный документ;Мультфильмы;Универсальный;-
3590;Аладдин и его волшебная лампа;;1994;Аудиовизуальный документ;Мультфильмы;Универсальный;-
3591;Дырявые головы;;1994;Аудиовизуальный документ;Мультфильмы;Универсальный;-
3592;Багз Банни;;1994;Аудиовизуальный документ;Мультфильмы;Универсальный;-
3593;Даффи-диверсант;;1994;Аудиовизуальный документ;Мультфильмы;Универсальный;-
3594;Уставший как собака;;1994;Аудиовизуальный документ;Мультфильмы;Универсальный;-
3595;Место встречи изменить нельзя. 1 серия;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3596;Место встречи изменить нельзя. 2 и 3 серия;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3597;Место встречи изменить нельзя. 4 и 5 серия;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3598;Интердевочка;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3599;Садко;;1994;Аудиовизуальный документ;Опера;Универсальный;-
3600;Маленькие трагедии.2 и 3 серия;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3601;Забытая мелодия для флейты;;1994;Аудиовизуальный документ;Кинофильм;Универсальный;-
3602;Бег-2;;1995;Аудиовизуальный документ;Кинофильм;Универсальный;-
3603;Бег-1;;1995;Аудиовизуальный документ;Кинофильм;Универсальный;-
3604;Труффальдино из Бергамо;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3605;Собака на сене;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3606;Дорогая Елена Сергеевна;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3607;Благочестивая Марта;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3608;Пьетро Масканьи.Сельская честь.;;2001;Аудиовизуальный документ;Опера;Универсальный;-
3609;Доницетти. Гаитана;;2001;Аудиовизуальный документ;Опера;Универсальный;-
3610;Живой труп;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3611;Последние пять лет;;2001;Аудиовизуальный документ;Документальный фильм;Универсальный;-
3612;Поэты серебряного века. Велимир Хлебников;;2001;Аудиовизуальный документ;Документальный фильм;Универсальный;-
3613;Соло для часов с боем. Театр на экране;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3614;Альфред Шнитке. Федор Шаляпин.;;2001;Аудиовизуальный документ;Документальный фильм;Универсальный;-
3615;Марис Лиепа. Казимир Малевич.;;2001;Аудиовизуальный документ;Документальный фильм;Универсальный;-
3616;Николай и Александра;;2001;Аудиовизуальный документ;Документальный фильм;Универсальный;-
3617;Повести Белкина. Выстрел.;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3618;Горе от ума. Малый театр.;;2001;Аудиовизуальный документ;Киноспектакль;Универсальный;-
3619;Обыкновенная история;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3620;Принцесса Турандот;;2001;Аудиовизуальный документ;Киноспектакль;Универсальный;-
3621;Милый лжец;;2001;Аудиовизуальный документ;Киноспектакль;Универсальный;-
3622;Самоубийца;;2001;Аудиовизуальный документ;Киноспектакль;Универсальный;-
3623;Страницы журнала Печорина.;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3624;Владимир Высоцкий. Монолог;;2001;Аудиовизуальный документ;Документальный фильм;Универсальный;-
3625;Хореографические образы Константина Галейзовского;;2001;Аудиовизуальный документ;Документальный фильм;Универсальный;-
3626;Игроки. Театр на экране;;2001;Аудиовизуальный документ;Кинофильм;Универсальный;-
3627;У главного рубежа. Отстоим Москву.;;2006;Аудиовизуальный документ;Документальный фильм;Универсальный;-
3628;Ким юлий Черсанович.Часть 1;;1994;Аудиовизуальный документ;Авторская песня;Универсальный;-
3629;Ким Юлий Черсанович.Часть 2;;1994;Аудиовизуальный документ;Авторская песня;Универсальный;-
3630;Stepping stones.Выпуск 1.Кассета 1;;1994;Аудиовизуальный документ;Музыка;Универсальный;-
3631;Stepping stones.Выпуск 1.Кассета 2;;1994;Аудиовизуальный документ;Музыка;Универсальный;-
3632;Stepping stones.Выпуск 2.Кассета 1.;;1994;Аудиовизуальный документ;Музыка;Универсальный;-
3633;Stepping stones.Выпуск 2.Кассета 2.;;1994;Аудиовизуальный документ;Музыка;Универсальный;-
3634;Stepping stones.Выпуск 3.Кассета 1.;;1994;Аудиовизуальный документ;Музыка;Универсальный;-
3635;Stepping stones.Выпуск 3.Кассета 2.;;1994;Аудиовизуальный документ;Музыка;Универсальный;-
3636;Берлиоз Гектор.Реквием.;;1994;Аудиовизуальный документ;Классическая музыка;Универсальный;-
3637;Кукин Юрий Алексеевич. Выпуск 1.;;1995;Аудиовизуальный документ;Музыка;Универсальный;-
3638;Гектор Берлиоз. Реквием;;1995;Аудиовизуальный документ;Классическая музыка;Универсальный;-
3639;Библиотечное дело;;2000;Периодическое издание;Библиотековедение;Взрослый;-
3650;Библиография;;2000;Периодическое издание;Библиотековедение;Взрослый;-
3661;Библиотека;;2000;Периодическое издание;Библиотековедение;Взрослый;-
3672;Будь здоров;;2000;Периодическое издание;Медицина. Здравоохранение;Взрослый;-
3683;В мире науки;;2007;Периодическое издание;Наука;Взрослый;-
3684;В мире науки;;2008;Периодическое издание;Наука;Взрослый;-
3685;В мире науки;;2009;Периодическое издание;Наука;Взрослый;-
3686;Вестник Мэра и правительства Москвы;;2000;Периодическое издание;Политика;Взрослый;-
3697;Вопросы экономики;;2000;Периодическое издание;Экономика;Взрослый;-
3703;Государство и право;;2000;Периодическое издание;Право;Взрослый;-
3714;Гражданин и право;;2000;Периодическое издание;Право;Взрослый;-
3725;Закон;;2000;Периодическое издание;Право;Взрослый;-
3736;Здоровый образ жизни;;2000;Периодическое издание;Медицина. Здравоохранение;Взрослый;-
3747;Знание-сила;;2000;Периодическое издание;Наука;Взрослый;-
3749;Итоги;;2000;Периодическое издание;Политика;Взрослый;-
3760;Кадровик;;2000;Периодическое издание;Экономика;Взрослый;-
3771;Коммерсант власть;;2000;Периодическое издание;Политика;Взрослый;-
3782;Крестьянка;;2000;Периодическое издание;Досуг. Творчество;Взрослый;-
3793;Литература в школе;;2000;Периодическое издание;Литературно-Художественный;Взрослый;-
3804;Маркетинг;;2000;Периодическое издание;Экономика;Взрослый;-
3812;Мир ПК+DVD;;2000;Периодическое издание;Информатика;Взрослый;-
3823;Мировая экономика и международные отношения;;2000;Периодическое издание;Экономика;Взрослый;-
3833;Нарконет;;2000;Периодическое издание;Медицина. Здравоохранение;Взрослый;-
3844;Наука и жизнь;;2000;Периодическое издание;Научно-популярный;Взрослый;-
3854;Наша молодежь;;2000;Периодическое издание;Общественно-Политический;Взрослый;-
3865;Новое время;;2000;Периодическое издание;Политика;Взрослый;-
3878;Новое литературное обозрение;;2010;Периодическое издание;Литературно-Художественный;Взрослый;-
3885;Новый мир;;2006;Периодическое издание;Политика;Взрослый;-
3886;Обозреватель;;2000;Периодическое издание;Политика;Взрослый;-
3897;Общественные науки и современность;;2000;Периодическое издание;Наука;Взрослый;-
3918;Общество и экономика;;2010;Периодическое издание;Экономика;Взрослый;-
3929;ПОЛИС;;2010;Периодическое издание;Политика;Взрослый;-
3940;Право и экономика;;2010;Периодическое издание;Право;Взрослый;-
3951;Проблемы теории и практики управления;;2010;Периодическое издание;Экономика;Взрослый;-
3962;Русская словесность;;2010;Периодическое издание;Литературоведение;Взрослый;-
3973;Русский репортер;;2010;Периодическое издание;Общественно-Политический;Взрослый;-
3984;Свободная мысль;;2010;Периодическое издание;Общественно-Политический;Взрослый;-
3985;Собрание законодательства Российской Федерации;;2000;Периодическое издание;Право;Взрослый;-
3996;Современная библиотека;;2000;Периодическое издание;Библиотековедение;Взрослый;-
4007;Социально-Гуманитарные знания;;2000;Периодическое издание;Общественно-Политический;Взрослый;-
4018;Социологические исследования;;2000;Периодическое издание;Социология;Взрослый;-
4039;Справочник руководителя учреждения культуры;;2010;Периодическое издание;Библиотековедение;Взрослый;-
4040;Техника-Молодежи;;2000;Периодическое издание;Техника;Взрослый;-
4061;Университетская книга;;2010;Периодическое издание;Культура;Взрослый;-
4062;Учет в бюджетных организациях;;2000;Периодическое издание;Экономика;Взрослый;-
4073;Химия и жизнь ХХI век;;2000;Периодическое издание;Научно-популярный;Взрослый;-
4092;Хозяйство и право;;2010;Периодическое издание;Экономика;Взрослый;-
4093;Художественный совет;;2000;Периодическое издание;Искусство. Культура;Взрослый;-
4104;Человек;;2010;Периодическое издание;Философия;Взрослый;-
4105;Эко;;2000;Периодическое издание;Экономика;Взрослый;-
4116;Гори, пионерский костер!;Богданов Николай Владимирович;1977;Книга;военная проза;Детский;-
4117;Пятое окно от угла;Морозова Вера Александровна;1986;Книга;Детская литература;Детский;-
4118;Улицы Москвы.  ;;1976;Книга;справочники;Юношеский;-
4119;Краткий курс общей экологии;Бродский Андрей Константинович;2000;Книга;Учебная литература;Взрослый;5-93630-014-5
4120;Теоретические основы лазерной спектроскопии насыщения;Зейгер София Гиршевна;1979;Книга;Учебная литература;Взрослый;-
4121;Основы общей экологии;Воронков Н.А.;1999;Книга;Учебная литература;Взрослый;5-89218-098-0
4122;Экономика содружества независимых государств;;1992;Книга;Деловая литература;Взрослый;5-7066-0005-8
4123;Экономика ;;1995;Книга;Учебная литература;Взрослый;5-85229-017-4
4124;Самоучитель по системным функциям MS-DOS;Финогенов Кирилл Григорьевич;1995;Книга;Компьютеры. Интернет;Взрослый;5-900797-02-3
4125;Системы тепловыведения;Ллойд Дж.;1978;Книга;Наука. Техника;Взрослый;-
4126;Мировая экономика;Спиридонов И.А.;1999;Книга;Учебная литература;Взрослый;5-86225-629-6
4127;Основы внешнеэкономических знаний;;1990;Книга;Учебная литература;Взрослый;5-7133-0240-7
4128;Международные экономические отношения;Авдокушин Е.Ф.;1999;Книга;Учебная литература;Взрослый;5-7856-0076-5
4129;Компьютер для носорога книжка третья: Носорог в мире данных;Шаров Юрий;1995;Книга;Компьютеры. Интернет;Взрослый;5-87484-015-Х
4130;Гражданский кодекс РФ ;;1996;Книга;Историческая;Взрослый;-
4132;"""Интеркосмос""- это сотрудничество";Губарев В.С.;1987;Книга;Наука и техника;Универсальный;-
4133;Текстовый процессор Microsoft Word;Добровольский В.;1989;Книга;Компьютер и интернет;Взрослый;-
4134;Программирование на языке ОККАМ;Джоунз Г.;1989;Книга;Компьютер и интернет;Взрослый;5-03-001155-2
4135;Геометрия 10-11 класс;Шарыгин И.Ф.;1999;Книга;Учебная литература;Универсальный;5-7107-2210-3
4136;Кибернетика. Дела практические.;Пекелис В.Д.;1984;Книга;Наука и техника;Универсальный;-
4137;Охрана водных ресурсов;Беличенко Ю.П.;1976;Книга;Гуманитарные науки;Взрослый;-
4138;Грузоподъёмные машины;Александров М.П.;1986;Книга;Студентам и аспирантам;Универсальный;-
4139;Изготовление самодельных наглядных пособий по истории;Аппорович Н.И.;1983;Книга;Педогогам;Взрослый;-
4140;Лучшие рефераты по географии;Цакиров Ю.Ю.;2001;Книга;Студентам и аспирантам;Универсальный;5-222-02151-3
4141;Пособие по географии для поступающих в ВуЗы;Болысов С.И.;1995;Книга;Учебная литература;Универсальный;5-88711-003-1
4142;Рефераты. Экономика. Выпуск 1.;;1998;Книга;Студентам и аспирантам;Универсальный;5-900732-21-5
4143;Новейшая история Франции 1918-1975.;В.П. Смирнов;1979;Книга;Историческая;Универсальный;-
4144;Информационные технологии. Часть1.;Ю. А. Шафрин;1999;Книга;Учебная литература;Универсальный;5-93208-020-5
4145;Школьнику о рыночной экономике;Казаков Александр;1995;Книга;Учебная литература;Универсальный;5-86371-010-1
4149;Введение в философию 10-11 класс;П.С. Гуревич;1997;Книга;Учебная литература;Универсальный;5-7390-0273-7
4150;Гражданский процессуальный кодекс РСФСР;;1991;Книга;Право;Универсальный;5-7260-0512-0
4151;Эрмитаж;Знаменов В.В.;1973;Книга;Путешествия;Универсальный;-
4152;Основы общей экологии;Н.А. Воронков;1999;Книга;Студентам и аспирантам;Универсальный;5-89218-098-0
4153;Экология, природопользование, охрана окружающей среды;Т.А. Демина;1999;Книга;Учебная литература;Универсальный;5-7567-0202-1
4154;налоги в экономике предприятий;С.В. Гуськов;1999;Книга;Студентам и аспирантам;Универсальный;5-8316-0011-4
4155;Экология: 9 класс;Е.А. Криксунов;1995;Книга;Учебная литература;Универсальный;5-7107-0468-7
4156;Песни и люди;Н.П. Колпакова;1977;Книга;Искусство. Культура;Универсальный;-
4157;Современная экономика;;1997;Книга;Студентам и аспирантам;Универсальный;5-85880-547-7
4158;дети и компьютеры;Джуди Солпитер;1996;Книга;Дом. Семья;Универсальный;0-672-30144-х
4159;Бухгалтерский учет;Безруких П.С.;1994;Книга;Студентам и аспирантам;Универсальный;5-85428-032-9
4160;Бухгалтерский учёт;Бабаева З.Д.;1995;Книга;Студентам и аспирантам;Универсальный;5-279-01113-4
4161;Бухгалтерский учет современной деятельности предприятий;Бабченко Т.Н.;1995;Книга;Деловая литература;Универсальный;5-279-01512-1
4162;Бухгалтерский учет для всех;Щадилова С.Н.;1995;Книга;Деловая литература;Взрослый;5-86509-022-4
4163;Тревога всегда внезапна;Киселев Владимир;1987;Книга;Историческая;Универсальный;-
4164;Окно в удивительный мир информатики;Коляда М.Г.;1997;Книга;Техника;Универсальный;966-7104-40-0
