Локальный идентификатор;Наименование;Автор;Год издания;Вид документа;Отрасль знания;Возрастная категория;ISBN
179;Библиотековедение ч.2;Сеглин Е.В.;1972;Книга;Учебная Литература;Взрослый;-
180;Библиографическая работа в библиотеке6 организация и методика;Коршунова Олег Павлович;1990;Книга;Учебная Литература;Взрослый;5-7000-0181-0
181;Библиотечные фонды;Столяров Юрий Николаевич;1979;Книга;Учебная Литература;Взрослый;-
182;Библиография литературы для детей;Рыбина Евдокия Филипповна;1984;Книга;Учебная Литература;Взрослый;-
183;БЕЙСИК для начинающих и будущих профессионалов;Трояновский Владимир Михайлович;1992;Книга;Компьютер. Интернет;Взрослый;5-06-002357-5
184;Фотографический калейдоскоп;Шеклеин Андрей Васильевич;1991;Книга;Справочники;Взрослый;5-7245-0807-9
186;Фотоника;;1978;Книга;Наука. Техника;Взрослый;-
187;Краткий справочник фотолюбителя;;1984;Книга;Справочники;Взрослый;-
188;Гигиена и реставрация библиотечных фондов;;1979;Книга;Учебная Литература;Взрослый;-
189;Дорожно-строительные материалы;;1983;Книга;Наука. Техника;Взрослый;-
190;Геометрия. Учебник для 10-11 классов средней школы;;1993;Книга;Учебная Литература;Взрослый;5-09-004625-5
191;Типовые задачи вступительных экзаменов в ВУЗы по математике;;1992;Книга;Учебная Литература;Взрослый;5-217-01540-3
192;Охрана окружающей среды;;1991;Книга;Учебная Литература;Взрослый;5-06-000665-4
193;Лаки и краски в вашем доме;;1989;Книга;Справочники;Взрослый;5-7245-0047-7
194;Беседы о животноводстве;Залыгин Александр Георгиевич;1986;Книга;Животноводство;Детский;-
195;Юному агрохимику;Замятин Геннадий Алексеевич;1983;Книга;Сельское хозяйство;Детский;-
196;Кем быть? Ежегодник;;1977;Книга;Экономика;Детский;-
197;Природоведение 3 кл.;Клепинина Зоя Александровна;1989;Книга;Природоведение;Детский;-
198;Коммунистическая партия и Советское правительство о религии и церкви;;1961;Книга;Политика;Детский;-
199;Игротека автоматов;Комский Давид Матвеевич;1987;Книга;Наука. Техника;Детский;-
200;Современная советская проза;Кузнецов Феликс Федосьевич;1986;Книга;Литературоведение;Детский;-
201;Лев Толстой как зеркало русской революции;Ленин Владимир Ильич;1974;Книга;История;Детский;-
202;О лозунге Соединенных Штатов Европы;Ленин Владимир Ильич;1977;Книга;История;Детский;-
203;Очередные задачи Советской власти;Ленин Владимир Ильич;1977;Книга;История;Детский;-
